n,value,kryt,device
4,6265.932355058939,AIC,refrigerator
4,6388.136423962016,BIC,refrigerator
4,6416.528672821291,log_lig,microwave
4,-12787.057345642583,AIC,microwave
4,-12664.853276739506,BIC,microwave
5,-5289.549953865701,log_lig,ligthing2
5,10647.099907731403,AIC,ligthing2
5,10827.749400892473,BIC,ligthing2
5,5512.427457062258,log_lig,lighting5
5,-10956.854914124517,AIC,lighting5
5,-10776.205420963446,BIC,lighting5
5,4882.906569420075,log_lig,lighting4
5,-9697.81313884015,AIC,lighting4
5,-9517.16364567908,BIC,lighting4
5,-3290.103262196431,log_lig,refrigerator
5,6648.206524392862,AIC,refrigerator
5,6828.856017553932,BIC,refrigerator
5,6521.000892365821,log_lig,microwave
5,-12974.001784731641,AIC,microwave
5,-12793.35229157057,BIC,microwave
6,-5103.211513096425,log_lig,ligthing2
6,10300.42302619285,AIC,ligthing2
6,10550.144384386094,BIC,ligthing2
6,5801.913168525834,log_lig,lighting5
6,-11509.826337051669,AIC,lighting5
6,-11260.104978858424,BIC,lighting5
6,5414.609752695093,log_lig,lighting4
6,-10735.219505390187,AIC,lighting4
6,-10485.498147196942,BIC,lighting4
6,-3041.4868128890676,log_lig,refrigerator
6,6176.973625778135,AIC,refrigerator
6,6426.694983971379,BIC,refrigerator
6,6087.5832094238485,log_lig,microwave
6,-12081.166418847697,AIC,microwave
6,-11831.445060654452,BIC,microwave
7,-4811.933490842572,log_lig,ligthing2
7,9747.866981685143,AIC,ligthing2
7,10077.286645684742,BIC,ligthing2
7,5946.811852738909,log_lig,lighting5
7,-11769.623705477818,AIC,lighting5
7,-11440.204041478219,BIC,lighting5
7,5425.878632411643,log_lig,lighting4
7,-10727.757264823285,AIC,lighting4
7,-10398.337600823686,BIC,lighting4
7,-2852.6503884884355,log_lig,refrigerator
7,5829.300776976871,AIC,refrigerator
7,6158.72044097647,BIC,refrigerator
7,6559.481798742161,log_lig,microwave
7,-12994.963597484322,AIC,microwave
7,-12665.543933484723,BIC,microwave
8,5006.478263996613,log_lig,ligthing2
8,-9854.956527993227,AIC,ligthing2
8,-9435.212117413093,BIC,ligthing2
8,291.6379119061618,log_lig,lighting5
8,-425.27582381232355,AIC,lighting5
8,-5.5314132321897205,BIC,lighting5
8,5367.113201135404,log_lig,lighting4
8,-10576.226402270808,AIC,lighting4
