n_lamp,n_rest,power
1.0,1.0,0.32727272727272727
1.0,2.0,0.35454545454545455
1.0,3.0,0.40545454545454546
1.0,4.0,0.3981818181818182
1.0,5.0,0.40545454545454546
1.0,6.0,0.4036363636363636
1.0,7.0,0.4036363636363636
1.0,8.0,0.40545454545454546
1.0,9.0,0.40545454545454546
1.0,10.0,0.4036363636363636
1.0,11.0,0.4018181818181818
1.0,12.0,0.4018181818181818
1.0,13.0,0.4036363636363636
1.0,14.0,0.4090909090909091
1.0,15.0,0.40545454545454546
1.0,16.0,0.4036363636363636
1.0,17.0,0.4072727272727273
1.0,18.0,0.4018181818181818
1.0,19.0,0.40545454545454546
2.0,1.0,0.20909090909090908
2.0,2.0,0.5127272727272727
2.0,3.0,0.3981818181818182
2.0,4.0,0.4109090909090909
2.0,5.0,0.4
2.0,6.0,0.4
2.0,7.0,0.5545454545454546
2.0,8.0,0.5927272727272728
2.0,9.0,0.5509090909090909
2.0,10.0,0.6
2.0,11.0,0.4
2.0,12.0,0.5509090909090909
2.0,13.0,0.4
2.0,14.0,0.5927272727272728
2.0,15.0,0.5509090909090909
2.0,16.0,0.58
2.0,17.0,0.4
2.0,18.0,0.39636363636363636
2.0,19.0,0.6
3.0,1.0,0.41818181818181815
3.0,2.0,0.6090909090909091
3.0,3.0,0.5927272727272728
3.0,4.0,0.6054545454545455
3.0,5.0,0.43454545454545457
3.0,6.0,0.5981818181818181
3.0,7.0,0.6181818181818182
3.0,8.0,0.7909090909090909
3.0,9.0,0.7872727272727272
3.0,10.0,0.5854545454545454
3.0,11.0,0.5981818181818181
3.0,12.0,0.7854545454545454
3.0,13.0,0.5872727272727273
3.0,14.0,0.7854545454545454
3.0,15.0,0.7836363636363637
3.0,16.0,0.4
3.0,17.0,0.5963636363636363
3.0,18.0,0.5945454545454546
3.0,19.0,0.6018181818181818
4.0,1.0,0.4109090909090909
4.0,2.0,0.5872727272727273
4.0,3.0,0.7890909090909091
4.0,4.0,0.5927272727272728
4.0,5.0,0.7818181818181819
4.0,6.0,0.5890909090909091
4.0,7.0,0.64
4.0,8.0,0.7818181818181819
4.0,9.0,0.8018181818181818
4.0,10.0,0.6072727272727273
4.0,11.0,0.7490909090909091
4.0,12.0,0.5854545454545454
4.0,13.0,0.5872727272727273
4.0,14.0,0.5927272727272728
4.0,15.0,0.78
4.0,16.0,0.78
4.0,17.0,0.7945454545454546
4.0,18.0,0.7836363636363637
4.0,19.0,0.6090909090909091
5.0,1.0,0.4254545454545455
5.0,2.0,0.7818181818181819
5.0,3.0,0.7854545454545454
5.0,4.0,0.6163636363636363
5.0,5.0,0.7836363636363637
5.0,6.0,0.7145454545454546
5.0,7.0,0.7745454545454545
5.0,8.0,0.7927272727272727
5.0,9.0,0.6036363636363636
5.0,10.0,0.6054545454545455
5.0,11.0,0.6018181818181818
5.0,12.0,0.7836363636363637
5.0,13.0,0.7854545454545454
5.0,14.0,0.7836363636363637
5.0,15.0,0.769090909090909
5.0,16.0,0.7927272727272727
5.0,17.0,0.7836363636363637
5.0,18.0,0.7727272727272727
5.0,19.0,0.7854545454545454
6.0,1.0,0.41818181818181815
6.0,2.0,0.7109090909090909
6.0,3.0,0.66
6.0,4.0,0.78
6.0,5.0,0.7745454545454545
6.0,6.0,0.7527272727272727
6.0,7.0,0.7909090909090909
6.0,8.0,0.7872727272727272
6.0,9.0,0.6890909090909091
6.0,10.0,0.5872727272727273
6.0,11.0,0.78
6.0,12.0,0.78
6.0,13.0,0.7854545454545454
6.0,14.0,0.7854545454545454
6.0,15.0,0.7981818181818182
6.0,16.0,0.5836363636363636
6.0,17.0,0.7854545454545454
6.0,18.0,0.6581818181818182
6.0,19.0,0.7836363636363637
7.0,1.0,0.4090909090909091
7.0,2.0,0.7836363636363637
7.0,3.0,0.7436363636363637
7.0,4.0,0.41818181818181815
7.0,5.0,0.5981818181818181
7.0,6.0,0.7763636363636364
7.0,7.0,0.74
7.0,8.0,0.769090909090909
7.0,9.0,0.7854545454545454
7.0,10.0,0.6145454545454545
7.0,11.0,0.7836363636363637
7.0,12.0,0.78
7.0,13.0,0.78
7.0,14.0,0.7872727272727272
7.0,15.0,0.5890909090909091
7.0,16.0,0.7818181818181819
7.0,17.0,0.7563636363636363
7.0,18.0,0.7945454545454546
7.0,19.0,0.7781818181818182
8.0,1.0,0.4163636363636364
8.0,2.0,0.6072727272727273
8.0,3.0,0.7836363636363637
8.0,4.0,0.6454545454545455
8.0,5.0,0.7709090909090909
8.0,6.0,0.7818181818181819
8.0,7.0,0.7890909090909091
8.0,8.0,0.7981818181818182
8.0,9.0,0.7818181818181819
8.0,10.0,0.7854545454545454
8.0,11.0,0.7836363636363637
8.0,12.0,0.78
8.0,13.0,0.7563636363636363
8.0,14.0,0.7490909090909091
8.0,15.0,0.78
8.0,16.0,0.7818181818181819
8.0,17.0,0.7818181818181819
8.0,18.0,0.7818181818181819
8.0,19.0,0.78
9.0,1.0,0.43636363636363634
9.0,2.0,0.7818181818181819
9.0,3.0,0.7672727272727272
9.0,4.0,0.7563636363636363
9.0,5.0,0.7163636363636363
9.0,6.0,0.7818181818181819
9.0,7.0,0.7818181818181819
9.0,8.0,0.7745454545454545
9.0,9.0,0.7836363636363637
9.0,10.0,0.7090909090909091
9.0,11.0,0.7963636363636364
9.0,12.0,0.78
9.0,13.0,0.7909090909090909
9.0,14.0,0.7727272727272727
9.0,15.0,0.7836363636363637
9.0,16.0,0.7836363636363637
9.0,17.0,0.7836363636363637
9.0,18.0,0.7854545454545454
9.0,19.0,0.7745454545454545
10.0,1.0,0.4127272727272727
10.0,2.0,0.6418181818181818
10.0,3.0,0.7745454545454545
10.0,4.0,0.6054545454545455
10.0,5.0,0.610909090909091
10.0,6.0,0.7890909090909091
10.0,7.0,0.7363636363636363
10.0,8.0,0.7854545454545454
10.0,9.0,0.5836363636363636
10.0,10.0,0.769090909090909
10.0,11.0,0.7890909090909091
10.0,12.0,0.7872727272727272
10.0,13.0,0.7745454545454545
10.0,14.0,0.7709090909090909
10.0,15.0,0.7818181818181819
10.0,16.0,0.78
10.0,17.0,0.7672727272727272
10.0,18.0,0.730909090909091
10.0,19.0,0.7909090909090909
11.0,1.0,0.40545454545454546
11.0,2.0,0.6254545454545455
11.0,3.0,0.6090909090909091
11.0,4.0,0.7818181818181819
11.0,5.0,0.78
11.0,6.0,0.7836363636363637
11.0,7.0,0.7854545454545454
11.0,8.0,0.7818181818181819
11.0,9.0,0.7854545454545454
11.0,10.0,0.7818181818181819
11.0,11.0,0.7872727272727272
11.0,12.0,0.7945454545454546
11.0,13.0,0.6963636363636364
11.0,14.0,0.7781818181818182
11.0,15.0,0.7818181818181819
11.0,16.0,0.7854545454545454
11.0,17.0,0.7727272727272727
11.0,18.0,0.7854545454545454
11.0,19.0,0.7890909090909091
12.0,1.0,0.40545454545454546
12.0,2.0,0.6581818181818182
12.0,3.0,0.7145454545454546
12.0,4.0,0.7509090909090909
12.0,5.0,0.7527272727272727
12.0,6.0,0.7727272727272727
12.0,7.0,0.7672727272727272
12.0,8.0,0.7854545454545454
12.0,9.0,0.7818181818181819
12.0,10.0,0.7709090909090909
12.0,11.0,0.7745454545454545
12.0,12.0,0.7781818181818182
12.0,13.0,0.7945454545454546
12.0,14.0,0.7563636363636363
12.0,15.0,0.7163636363636363
12.0,16.0,0.7709090909090909
12.0,17.0,0.7818181818181819
12.0,18.0,0.7818181818181819
12.0,19.0,0.7727272727272727
13.0,1.0,0.43272727272727274
13.0,2.0,0.6163636363636363
13.0,3.0,0.5418181818181819
13.0,4.0,0.6763636363636364
13.0,5.0,0.7636363636363637
13.0,6.0,0.7163636363636363
13.0,7.0,0.7836363636363637
13.0,8.0,0.7836363636363637
13.0,9.0,0.7854545454545454
13.0,10.0,0.7509090909090909
13.0,11.0,0.6909090909090909
13.0,12.0,0.7854545454545454
13.0,13.0,0.7945454545454546
13.0,14.0,0.58
13.0,15.0,0.7854545454545454
13.0,16.0,0.7836363636363637
13.0,17.0,0.7745454545454545
13.0,18.0,0.8018181818181818
13.0,19.0,0.7818181818181819
14.0,1.0,0.4090909090909091
14.0,2.0,0.7618181818181818
14.0,3.0,0.7781818181818182
14.0,4.0,0.6218181818181818
14.0,5.0,0.7727272727272727
14.0,6.0,0.649090909090909
14.0,7.0,0.6018181818181818
14.0,8.0,0.8
14.0,9.0,0.7745454545454545
14.0,10.0,0.7854545454545454
14.0,11.0,0.7818181818181819
14.0,12.0,0.7345454545454545
14.0,13.0,0.769090909090909
14.0,14.0,0.7781818181818182
14.0,15.0,0.7072727272727273
14.0,16.0,0.6818181818181818
14.0,17.0,0.7909090909090909
14.0,18.0,0.7818181818181819
14.0,19.0,0.7763636363636364
15.0,1.0,0.4018181818181818
15.0,2.0,0.78
15.0,3.0,0.7836363636363637
15.0,4.0,0.7527272727272727
15.0,5.0,0.7745454545454545
15.0,6.0,0.7636363636363637
15.0,7.0,0.6890909090909091
15.0,8.0,0.7636363636363637
15.0,9.0,0.7727272727272727
15.0,10.0,0.7818181818181819
15.0,11.0,0.7163636363636363
15.0,12.0,0.5872727272727273
15.0,13.0,0.78
15.0,14.0,0.72
15.0,15.0,0.7727272727272727
15.0,16.0,0.8
15.0,17.0,0.7927272727272727
15.0,18.0,0.7781818181818182
15.0,19.0,0.7363636363636363
16.0,1.0,0.40545454545454546
16.0,2.0,0.6218181818181818
16.0,3.0,0.7836363636363637
16.0,4.0,0.7945454545454546
16.0,5.0,0.7618181818181818
16.0,6.0,0.7963636363636364
16.0,7.0,0.8018181818181818
16.0,8.0,0.6836363636363636
16.0,9.0,0.7945454545454546
16.0,10.0,0.7909090909090909
16.0,11.0,0.7818181818181819
16.0,12.0,0.7581818181818182
16.0,13.0,0.7727272727272727
16.0,14.0,0.6854545454545454
16.0,15.0,0.7727272727272727
16.0,16.0,0.7927272727272727
16.0,17.0,0.7781818181818182
16.0,18.0,0.7836363636363637
16.0,19.0,0.7509090909090909
17.0,1.0,0.37272727272727274
